,NegPercentage,PosPercentage,NeuPercentage
Hard to answer,0.2977292311426328,-0.21391955826741013,-0.0722742877193195
GoodAll,-0.48723292675102203,0.7656478474907782,-0.31670705672399857
BadAll,0.44869469450154753,-0.7526706273098253,0.34146226594964957
